▣ 홍수특보 발령상황
홍수예보 제 2020-9호,한강 여주시(원부교)지점,2020-08-02 07:50,홍수주의보 발령
홍수예보 제 2020-8호,한강 괴산군(목도교)지점,2020-08-02 06:40,홍수주의보 발령
홍수예보 제 2020-7호,한강 괴산군(목도교)지점,2020-07-30 17:30,홍수주의보 해제
홍수예보 제 2020-6호,한강 괴산군(목도교)지점,2020-07-30 14:30,홍수주의보 변경발령
홍수예보 제 2020-5호,한강 여주시(원부교)지점,2020-07-30 13:10,홍수경보 해제
홍수예보 제 2020-4호,한강 괴산군(목도교)지점,2020-07-30 08:30,홍수경보 변경발령
홍수예보 제 2020-3호,한강 여주시(원부교)지점,2020-07-30 05:20,홍수경보 변경발령
홍수예보 제 2020-2호,한강 괴산군(목도교)지점,2020-07-30 04:30,홍수주의보 발령
홍수예보 제 2020-1호,한강 여주시(원부교)지점,2020-07-30 04:00,홍수주의보 발령
홍수예보 제 20호,한강 서울시(중랑교)지점,2018-08-30 05:50,홍수주의보 해제
홍수예보 제 19호,한강 남양주시(진관교)지점,2018-08-30 05:50,홍수주의보 해제
홍수예보 제 18호,한강 연천군(사랑교)지점,2018-08-30 04:50,홍수주의보 해제
홍수예보 제 17호,한강 파주시(비룡대교)지점,2018-08-30 04:40,홍수주의보 해제
홍수예보 제 16호,한강 남양주시(진관교)지점,2018-08-30 03:10,홍수주의보 변경발령
홍수예보 제 15호,한강 서울시(중랑교)지점,2018-08-30 00:20,홍수주의보 발령
홍수예보 제 14호,한강 남양주시(진관교)지점,2018-08-30 00:10,홍수경보 발령
홍수예보 제 13호,한강 파주시(비룡대교)지점,2018-08-29 20:20,홍수주의보 변경발령
홍수예보 제 12호,한강 남양주시(진관교)지점,2018-08-29 18:40,홍수주의보 발령
홍수예보 제 11호,한강 파주시(비룡대교)지점,2018-08-29 14:50,홍수경보 발령
홍수예보 제 10호,한강 파주시(비룡대교)지점,2018-08-29 13:20,홍수주의보 발령
홍수예보 제 9호,한강 연천군(사랑교)지점,2018-08-29 12:10,홍수주의보 발령
홍수예보 제 8호,한강 남양주시(진관교)지점,2018-08-29 01:20,홍수주의보 해제
홍수예보 제 7호,한강 서울시(중랑교)지점,2018-08-29 01:20,홍수주의보 해제
홍수예보 제 2018-6호,한강 남양주시(진관교)지점,2018-08-28 20:40,홍수주의보 발령
홍수예보 제 2018-5호,한강 서울시(중랑교)지점,2018-08-28 20:30,홍수주의보 발령
홍수예보 제 4호,한강 광주시(경안교)지점,2018-07-02 21:00,홍수주의보 해제
홍수예보 제 3호,한강 광주시(경안교)지점,2018-07-02 18:00,홍수주의보 발령
홍수예보 제 2018-2호,한강 평창군(평창교)지점,2018-05-18 06:00,홍수주의보 해제
홍수예보 제 2018-1호,한강 평창군(평창교)지점,2018-05-18 04:10,홍수주의보 발령
홍수예보 제 2017-10호,한강 서울시(대곡교)지점,2017-07-16 07:00,홍수주의보 해제
홍수예보 제 2017-9호,한강 서울시(대곡교)지점,2017-07-16 04:50,홍수주의보 발령
홍수예보 제 2017-8호,한강 홍천군(홍천교)지점,2017-07-11 05:30,홍수주의보 해제
홍수예보 제 2017-7호,한강 홍천군(홍천교)지점,2017-07-11 02:30,홍수주의보 발령
홍수예보 제 2017-6호,한강 남양주시(진관교)지점,2017-07-11 00:30,홍수주의보 해제
홍수예보 제 2017-5호,한강 남양주시(진관교)지점,2017-07-10 21:20,홍수주의보 발령
홍수예보 제 2017-4호,한강 홍천군(홍천교)지점,2017-07-03 12:40,홍수주의보 해제
홍수예보 제 2017-3호,한강 남양주시(진관교)지점,2017-07-03 07:10,홍수주의보 해제
홍수예보 제 2호,한강 홍천군(홍천교)지점,2017-07-03 04:10,홍수주의보 발령
홍수예보 제 1호,한강 남양주시(진관교)지점,2017-07-03 01:40,홍수주의보 발령
홍수예보 제 2016-5호, 남양주시(진관교)지점,2016-07-05 14:40,홍수경보 해제
홍수예보 제 2016-4호, 서울시(중랑교)지점,2016-07-05 12:20,홍수주의보 해제
홍수예보 제 2016-3호, 남양주시(진관교)지점,2016-07-05 11:00,홍수경보 변경발령
홍수예보 제 2016-2호,한강(중랑천) 서울시(중랑교)지점,2016-07-05 10:30,홍수주의보 발령
홍수예보 제 2016-1호,한강(왕숙천) 남양주시(진관교)지점,2016-07-05 09:20,홍수주의보 발령
홍수예보 제 2014-02호,한강(탄천)유역 성남(대곡교)지점,2014-08-21 12:20,홍수주의보 해제
홍수예보 제 2014-1호,한강(탄천)유역 성남(대곡교)지점,2014-08-21 10:50,홍수주의보 발령
홍수예보 제 2013-11호,한강(탄천) 성남(대곡교)지점,2013-07-22 10:00,홍수주의보 해제
홍수예보 제 2013-10호,한강(탄천) 유역 성남지점,2013-07-22 07:00,홍수주의보 발령
홍수예보 제 2013-9호,한강유역 영월지점,2013-07-16 01:30,홍수주의보 해제
홍수예보 제 2013-8호,한강유역 영월지점,2013-07-15 15:00,홍수주의보 발령
홍수예보 제 2013-7호,임진강 전곡지점,2013-07-14 15:20,홍수주의보 해제
홍수예보 제 2013-6호,한강(왕숙천) 퇴계원지점,2013-07-14 13:40,홍수주의보 해제
홍수예보 제 2013-5호,왕숙천 퇴계원지점,2013-07-14 12:00,홍수주의보 변경발령
홍수예보 제 2013-4호,임진강(한탄강) 전곡(사랑교)지점,2013-07-14 11:50,홍수주의보 발령
